"Plot","Value","date","MAP","Index"
"E13",2.82700002571801e-05,2022-01-16,2,"B8A"
"E14",2.71400003839517e-05,2022-01-16,2,"B8A"
"E15",2.77399994956795e-05,2022-01-16,2,"B8A"
"E16",2.80800013570115e-05,2022-01-16,2,"B8A"
"E17",2.86399990727659e-05,2022-01-16,2,"B8A"
"K01",2.94400015263818e-05,2022-01-16,2,"B8A"
"K02",2.74300009550643e-05,2022-01-16,2,"B8A"
"K03",3.17099984386005e-05,2022-01-16,2,"B8A"
"K04",3.29899994540028e-05,2022-01-16,2,"B8A"
"K05",3.19299979310017e-05,2022-01-16,2,"B8A"
"K06",3.40900005539879e-05,2022-01-16,2,"B8A"
"K07",3.38300014846027e-05,2022-01-16,2,"B8A"
"K08",3.39899997925386e-05,2022-01-16,2,"B8A"
"K09",3.3669999538688e-05,2022-01-16,2,"B8A"
"K10",3.36800003424287e-05,2022-01-16,2,"B8A"
"K11",3.50299997080583e-05,2022-01-16,2,"B8A"
"K12",3.40600017807446e-05,2022-01-16,2,"B8A"
"K13",3.40900005539879e-05,2022-01-16,2,"B8A"
"K14",3.29100003000349e-05,2022-01-16,2,"B8A"
"K15",3.12900010612793e-05,2022-01-16,2,"B8A"
"S09",3.15200013574213e-05,2022-01-16,2,"B8A"
"S13",3.46500019077212e-05,2022-01-16,2,"B8A"
"S14",3.4549997508293e-05,2022-01-16,2,"B8A"
"S15",3.3669999538688e-05,2022-01-16,2,"B8A"
"S16",3.07500013150275e-05,2022-01-16,2,"B8A"
"S17",3.25000000884756e-05,2022-01-16,2,"B8A"
"S18",3.0849998438498e-05,2022-01-16,2,"B8A"
"S19",3.11600015265867e-05,2022-01-16,2,"B8A"
"S20",3.05100011246395e-05,2022-01-16,2,"B8A"
"S21",3.08400012727361e-05,2022-01-16,2,"B8A"
"S22",3.08449998556171e-05,2022-01-16,2,"B8A"
"S23",3.27300003846176e-05,2022-01-16,2,"B8A"
"S25",2.74100002570776e-05,2022-01-16,2,"B8A"
"S26",2.7189998945687e-05,2022-01-16,2,"B8A"
"S27",2.74199992418289e-05,2022-01-16,2,"B8A"
"S28",3.04200002574362e-05,2022-01-16,2,"B8A"
"S29",3.25100008922163e-05,2022-01-16,2,"B8A"
"S30",3.2069998269435e-05,2022-01-16,2,"B8A"
"S31",3.06600013573188e-05,2022-01-16,2,"B8A"
"S32",3.30599978042301e-05,2022-01-16,2,"B8A"
"S33",2.99800012726337e-05,2022-01-16,2,"B8A"
"E7",3.02900007227436e-05,2022-01-16,2,"B9"
"E8",3.02900007227436e-05,2022-01-16,2,"B9"
"E9",3.20100007229485e-05,2022-01-16,2,"B9"
"E10",3.08999988192227e-05,2022-01-16,2,"B9"
"E11",2.94599994958844e-05,2022-01-16,2,"B9"
"E12",2.94599994958844e-05,2022-01-16,2,"B9"
"E13",2.90099997073412e-05,2022-01-16,2,"B9"
"E14",2.80200001725461e-05,2022-01-16,2,"B9"
"E15",2.7300000510877e-05,2022-01-16,2,"B9"
"E16",2.79600008070702e-05,2022-01-16,2,"B9"
"E17",2.92500008072238e-05,2022-01-16,2,"B9"
"K01",2.88400005956646e-05,2022-01-16,2,"B9"
"K02",2.92000004264992e-05,2022-01-16,2,"B9"
"K03",3.19600003422238e-05,2022-01-16,2,"B9"
"K04",3.2489999284735e-05,2022-01-16,2,"B9"
"K05",3.29399990732782e-05,2022-01-16,2,"B9"
"K06",3.31000010191929e-05,2022-01-16,2,"B9"
"K07",3.33600000885781e-05,2022-01-16,2,"B9"
"K08",3.36199991579633e-05,2022-01-16,2,"B9"
"K09",3.38999998348299e-05,2022-01-16,2,"B9"
"K10",3.38999998348299e-05,2022-01-16,2,"B9"
"K11",3.5270000807941e-05,2022-01-16,2,"B9"
"K12",3.27599991578609e-05,2022-01-16,2,"B9"
"K13",3.38300014846027e-05,2022-01-16,2,"B9"
"K14",3.2410000130767e-05,2022-01-16,2,"B9"
"K15",3.2410000130767e-05,2022-01-16,2,"B9"
"S09",3.12199990730733e-05,2022-01-16,2,"B9"
"S13",3.41400009347126e-05,2022-01-16,2,"B9"
"S14",3.44100008078385e-05,2022-01-16,2,"B9"
"S15",3.39200014423113e-05,2022-01-16,2,"B9"
"S16",3.09099996229634e-05,2022-01-16,2,"B9"
"S17",3.2370000553783e-05,2022-01-16,2,"B9"
"S18",3.12199990730733e-05,2022-01-16,2,"B9"
"S19",3.0960000003688e-05,2022-01-16,2,"B9"
"S20",3.12199990730733e-05,2022-01-16,2,"B9"
"S21",3.08599992422387e-05,2022-01-16,2,"B9"
"S22",3.08800008497201e-05,2022-01-16,2,"B9"
"S23",3.2370000553783e-05,2022-01-16,2,"B9"
"S25",2.8520000341814e-05,2022-01-16,2,"B9"
"S26",2.75200000032783e-05,2022-01-16,2,"B9"
"S27",2.80099993688054e-05,2022-01-16,2,"B9"
"S28",3.0010000045877e-05,2022-01-16,2,"B9"
"S29",3.16799996653572e-05,2022-01-16,2,"B9"
"S30",3.16000005113892e-05,2022-01-16,2,"B9"
"S31",3.06600013573188e-05,2022-01-16,2,"B9"
"S32",3.42099992849398e-05,2022-01-16,2,"B9"
"S33",3.02900007227436e-05,2022-01-16,2,"B9"
"E7",4.04400016122963e-05,2022-01-16,2,"B11"
"E8",4.140999953961e-05,2022-01-16,2,"B11"
"E9",4.34700014011469e-05,2022-01-16,2,"B11"
"E10",4.16449984186329e-05,2022-01-16,2,"B11"
"E11",3.7860001611989e-05,2022-01-16,2,"B11"
"E12",3.76800016965717e-05,2022-01-16,2,"B11"
"E13",3.79900011466816e-05,2022-01-16,2,"B11"
